Country,PIN,Community,State,State_ID,District,District_ID,City,Lat,Lng,Loc_accuracy,District_1
IN,396521,Amadhara,Gujarat,9,Navsari,490,Chikhli,21.9308,72.3141,3,Navsari
IN,442906,Amadi Beguide,Maharashtra,16,Chandrapur,509,Chimur,20.3454,79.2734,3,Chandrapur
IN,396427,Amadpore,Gujarat,9,Navsari,490,Navsari,20.949,72.8983,1,Navsari
IN,713154,Amadpur,West Bengal,28,Purba Bardhaman,335,NA,23.6009,87.8438,1,Purba Bardhaman
IN,491230,Amadula,Chattisgarh,37,Durg,409,Dondi,20.4578,81.2391,4,Durg
IN,516193,Amagampalli,Andhra Pradesh,2,Y.S.R.,551,Porumamilla,14.9557,78.8357,3,Cuddapah
IN,480771,Amagarh,Madhya Pradesh,35,Seoni,456,Barghat,22.0095,79.6114,4,Seoni
IN,483990,Amagawan,Madhya Pradesh,35,Katni,450,Rithi,24.0327,80.1493,3,Kaushambi
IN,515144,Amagondapalem,Andhra Pradesh,2,Anantapur,553,Puttaparthi,14.2042,77.8111,3,Ananthapur
IN,494001,Amaguda,Chattisgarh,37,Bastar,414,Jagdalpur,19.4116,82.0191,4,Bastar
IN,477447,Amaha,Madhya Pradesh,35,Bhind,420,Lahar,25.9843,78.8977,4,Bhind
IN,231211,Amaha Mafi,Uttar Pradesh,36,Mirzapur,199,Mirzapur,24.9417,82.4007,3,Mirzapur
IN,221712,Amahara,Uttar Pradesh,36,Ballia,193,Rasra,25.8754,84.1055,4,Ballia
IN,221712,Amaharpatti Uttar,Uttar Pradesh,36,Ballia,193,Rasra,25.8954,83.6898,3,Ballia
IN,798611,Amahatore,Nagaland,20,Kiphire,269,Kiphire,26.4339,94.7678,1,Kishanganj
IN,847402,Amahi,Bihar,34,Madhubani,207,Jhanjharpur,26.2315,86.4913,4,Madhubani
IN,225409,Amahia,Uttar Pradesh,36,Barabanki,176,Ram Sanehi Ghat,26.7722,81.5552,4,Barabanki
IN,483053,Amahinota,Madhya Pradesh,35,Jabalpur,451,Jabalpur,23.1317,79.8011,3,Jagatsinghapur
