SYMBOL,SERIES,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,TOTTRDQTY,TOTTRDVAL,TIMESTAMP,TOTALTRADES,ISIN
INDORAMA,EQ,52.85,55,52.7,53.6,54.3,53.05,65725,3520670.85,24-Nov-22,615,INE156A01020
INDOSTAR,BE,150.9,150.9,143.5,144,148.45,149,20907,3029362.8,24-Nov-22,161,INE896L01010
INDOTECH,EQ,190,191.85,176.6,183.55,187,189.45,18995,3486910.85,24-Nov-22,776,INE332H01014
INDOTHAI,BE,285.2,294.8,281.15,281.15,281.15,295.9,20375,5774397.45,24-Nov-22,224,INE337M01013
INDOWIND,BE,14.3,14.45,14.05,14.1,14.1,14.25,82213,1168167.15,24-Nov-22,404,INE227G01018
INDRAMEDCO,EQ,86.5,87.45,83.4,85.15,84.5,86.85,474062,40431227.05,24-Nov-22,5653,INE681B01017
INDSWFTLAB,EQ,64.1,65.9,63.35,64.85,65.8,63.85,53953,3507739.9,24-Nov-22,653,INE915B01019
INDSWFTLTD,EQ,9,9.3,9,9.05,9.05,9.1,14298,130091.9,24-Nov-22,81,INE788B01028
INDTERRAIN,EQ,74.1,75.15,73.05,73.35,73.05,73.75,108176,7975043.25,24-Nov-22,1291,INE611L01021
INDUSINDBK,EQ,1143,1173.25,1138.5,1169.4,1172.45,1139,3927395,4560395379,24-Nov-22,89878,INE095A01012
INDUSTOWER,EQ,202.5,204.4,199.25,201.35,201.3,201.65,1845541,372269426.5,24-Nov-22,18453,INE121J01017
INEOSSTYRO,EQ,794.4,800,783,787.05,787,788.15,14760,11696749.8,24-Nov-22,1739,INE189B01011
INFIBEAM,EQ,16.3,16.35,16,16.05,16,16.2,2457342,39653499.7,24-Nov-22,3598,INE483S01020
INFOBEAN,EQ,523,523,510.5,511.75,510.5,517.2,8516,4392999.1,24-Nov-22,793,INE344S01016
INFOMEDIA,EQ,4.65,4.65,4.35,4.5,4.65,4.55,9141,40333.55,24-Nov-22,22,INE669A01022
INFRABEES,EQ,548.19,550.51,545.13,548.96,549.51,545.68,895,490366.84,24-Nov-22,104,INF732E01268
INFY,EQ,1569,1588,1562,1585.05,1586.9,1568.2,3399329,5357454858,24-Nov-22,132533,INE009A01021
INGERRAND,EQ,2350,2382.95,2271.45,2354.4,2341,2372.15,44510,103682655,24-Nov-22,11818,INE177A01018
INNOVANA,SM,365.25,402.4,365,402.4,402.4,383.25,5000,1937050,24-Nov-22,5,INE403Y01018
INNOVATIVE,ST,2.55,2.65,2.55,2.65,2.65,2.65,9000,23250,24-Nov-22,3,INE070Y01015
INOXLEISUR,EQ,511.2,518,510,516.7,517.4,515.2,115099,59310642.6,24-Nov-22,4578,INE312H01016
INOXWIND,EQ,120.4,122.85,119.1,121.55,121,118.45,593328,72025246.4,24-Nov-22,7427,INE066P01011
INSECTICID,EQ,750,760,745.5,751.55,760,748.4,56467,42462150.15,24-Nov-22,1761,INE070I01018
INSPIRISYS,EQ,45.05,45.75,44.65,45.1,45.1,44.85,9975,450240.85,24-Nov-22,99,INE020G01017
INTELLECT,EQ,442.4,445.9,430.75,434.45,434.05,442.35,354565,154542310.2,24-Nov-22,10567,INE306R01017
INTENTECH,EQ,71.95,75,71.05,71.45,71.35,71.4,47938,3463573.25,24-Nov-22,549,INE781A01025
INTLCONV,EQ,59.95,60.4,59.65,59.85,59.9,59.9,107465,6428527.75,24-Nov-22,558,INE575C01027
INVENTURE,EQ,2.8,2.85,2.75,2.75,2.75,2.75,1910781,5342718.75,24-Nov-22,1114,INE878H01024
IOB,EQ,23.7,24.85,23.15,23.7,23.5,23.45,54130331,1298118592,24-Nov-22,48563,INE565A01014
IOC,EQ,70.05,70.2,69.45,70,70,70.05,13456815,940144958.6,24-Nov-22,38582,INE242A01010
IOLCP,EQ,324,324.05,316,318.35,319.25,322.8,109519,34948793.3,24-Nov-22,4823,INE485C01011
IONEXCHANG,EQ,2510,2550,2475,2482.3,2475,2513.4,30364,76557615.05,24-Nov-22,7292,INE570A01014
IPCALAB,EQ,867,869.45,852.15,864.65,860.05,868.5,297427,255772845.9,24-Nov-22,11139,INE571A01038
IPL,EQ,242.05,245.2,241,242.5,242.95,242.3,65961,16007955.25,24-Nov-22,2616,INE0D6701023
IPSL,ST,83.45,83.45,81.05,83.45,83.45,79.5,100000,8324800,24-Nov-22,45,INE02EE01019
IRB,EQ,250,254.45,249,250.4,250.5,250.75,556077,139909709.3,24-Nov-22,9374,INE821I01014
